path,line,purpose,category,current_model,expected_output,reasoning_required,arithmetic_required,date_computation,arbitrary_strings,latency,token_usage,approximate_cost,failure_and_fallback,frequency,critical_path,primitive,priority
apps/desktop/src-tauri/src/automation/computer_use/anthropic_agent.rs,470,Vision/computer interaction and action arguments,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject text-only replacement
apps/desktop/src-tauri/src/automation/computer_use/observe_plan_act.rs,1093,Vision/computer interaction and action arguments,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject text-only replacement
apps/desktop/src-tauri/src/core/agent/autonomous.rs,1295,Recover failed step or verify remaining plan (PLAN_OK vs revised steps),B+C+D,Host-selected model through the canonical router/provider configuration,confirmation or arbitrary revised plan,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Consult failure is nonfatal; original plan retained,"Recovery/step feedback, production frequency unknown",yes when invoked synchronously,"Noul gate only, retain planner",P2; cannot replace replanning
apps/desktop/src-tauri/src/core/agent/autonomous.rs,1365,Recover failed step or verify remaining plan (PLAN_OK vs revised steps),B+C+D,Host-selected model through the canonical router/provider configuration,confirmation or arbitrary revised plan,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Consult failure is nonfatal; original plan retained,"Recovery/step feedback, production frequency unknown",yes when invoked synchronously,"Noul gate only, retain planner",P2; cannot replace replanning
apps/desktop/src-tauri/src/core/agent/code_generator.rs,213,Generate or edit source code,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject
apps/desktop/src-tauri/src/core/agent/code_generator.rs,630,Generate or edit source code,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject
apps/desktop/src-tauri/src/core/agent/intelligent_file_access.rs,283,Analyze OCR/error context and propose recovery,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Heuristic OCR analysis; missing trust defaults Local,On invocation; production frequency unknown,yes when invoked synchronously,none,reject direct replacement
apps/desktop/src-tauri/src/core/agent/planner.rs,100,Generate dependent plan/subtasks/actions,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject replacement; P2 optional evidence gate
apps/desktop/src-tauri/src/core/agi/executors/code_executor.rs,853,Generate or edit source code,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject
apps/desktop/src-tauri/src/core/agi/executors/git_executor.rs,811,Generate git-related text,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject
apps/desktop/src-tauri/src/core/agi/executors/llm_executor.rs,279,Shared inference dispatch; semantics belong to caller,transport,Host-selected model through the canonical router/provider configuration,"streamed text, reasoning, tool calls, usage",caller-dependent,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,caller-dependent,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,preserve transport; classify callers
apps/desktop/src-tauri/src/core/agi/executors/llm_executor.rs,335,Shared inference dispatch; semantics belong to caller,transport,Host-selected model through the canonical router/provider configuration,"streamed text, reasoning, tool calls, usage",caller-dependent,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,caller-dependent,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,preserve transport; classify callers
apps/desktop/src-tauri/src/core/agi/planner.rs,206,Generate dependent plan/subtasks/actions,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject replacement; P2 optional evidence gate
apps/desktop/src-tauri/src/core/agi/planner.rs,614,Generate dependent plan/subtasks/actions,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject replacement; P2 optional evidence gate
apps/desktop/src-tauri/src/core/agi/process_reasoning.rs,375,Classify a goal into known ProcessType,B,Host-selected model through the canonical router/provider configuration,known process enum,no,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,no,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,"Keyword/cache first, permitted candidates then existing error/default handling",On invocation; production frequency unknown,yes when invoked synchronously,Choice,"P1, Local trust prohibits TypeSafe substitution"
apps/desktop/src-tauri/src/core/agi/reflection.rs,381,Critique plan and generate corrections/recommendations,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,Noul grounded checks only,P2; retain reasoning and correction text
apps/desktop/src-tauri/src/core/agi/reflection.rs,814,Critique plan and generate corrections/recommendations,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,Noul grounded checks only,P2; retain reasoning and correction text
apps/desktop/src-tauri/src/core/intent/detector.rs,290,"Ambiguous intent, complexity, tools and suggested action",B+D,Host-selected model through the canonical router/provider configuration,JSON category/confidence/complexity/tools plus generated suggested action,no for semantic labels,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Pattern match first; LLM errors propagate; no-session trust defaults Local,On invocation; production frequency unknown,yes when invoked synchronously,Choice + Score + per-tool Noul,P1 after native trust-aware host integration
apps/desktop/src-tauri/src/core/llm/council.rs,328,Synthesize council responses,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject
apps/desktop/src-tauri/src/core/llm/llm_router.rs,1508,Shared inference dispatch; semantics belong to caller,transport,Host-selected model through the canonical router/provider configuration,"streamed text, reasoning, tool calls, usage",caller-dependent,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,caller-dependent,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,preserve transport; classify callers
apps/desktop/src-tauri/src/core/llm/llm_router.rs,1615,Shared inference dispatch; semantics belong to caller,transport,Host-selected model through the canonical router/provider configuration,"streamed text, reasoning, tool calls, usage",caller-dependent,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,caller-dependent,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,preserve transport; classify callers
apps/desktop/src-tauri/src/core/llm/tool_executor/llm_tools.rs,61,Shared inference dispatch; semantics belong to caller,transport,Host-selected model through the canonical router/provider configuration,"streamed text, reasoning, tool calls, usage",caller-dependent,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,caller-dependent,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,preserve transport; classify callers
apps/desktop/src-tauri/src/core/research/orchestrator.rs,440,Generate query analysis/constraints or synthesize findings,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,Noul evidence checks as adjunct,P2 adjunct only
apps/desktop/src-tauri/src/core/research/orchestrator.rs,729,Generate query analysis/constraints or synthesize findings,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,Noul evidence checks as adjunct,P2 adjunct only
apps/desktop/src-tauri/src/core/swarm/task_decomposer.rs,628,Generate dependent plan/subtasks/actions,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject replacement; P2 optional evidence gate
apps/desktop/src-tauri/src/features/terminal/ai_assistant.rs,54,Generate/explain/repair shell commands,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject arbitrary string replacement
apps/desktop/src-tauri/src/features/terminal/ai_assistant.rs,106,Generate/explain/repair shell commands,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject arbitrary string replacement
apps/desktop/src-tauri/src/features/terminal/ai_assistant.rs,171,Generate/explain/repair shell commands,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject arbitrary string replacement
apps/desktop/src-tauri/src/features/terminal/ai_assistant.rs,230,Generate/explain/repair shell commands,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject arbitrary string replacement
apps/desktop/src-tauri/src/sys/commands/chat/local_turn_host.rs,290,Shared inference dispatch; semantics belong to caller,transport,Host-selected model through the canonical router/provider configuration,"streamed text, reasoning, tool calls, usage",caller-dependent,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,caller-dependent,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,preserve transport; classify callers
apps/desktop/src-tauri/src/sys/commands/chat/send_message_execution.rs,506,Shared inference dispatch; semantics belong to caller,transport,Host-selected model through the canonical router/provider configuration,"streamed text, reasoning, tool calls, usage",caller-dependent,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,caller-dependent,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,preserve transport; classify callers
apps/desktop/src-tauri/src/sys/commands/chat/send_message_execution.rs,674,Shared inference dispatch; semantics belong to caller,transport,Host-selected model through the canonical router/provider configuration,"streamed text, reasoning, tool calls, usage",caller-dependent,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,caller-dependent,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,preserve transport; classify callers
apps/desktop/src-tauri/src/sys/commands/chat/send_message_execution.rs,1034,Shared inference dispatch; semantics belong to caller,transport,Host-selected model through the canonical router/provider configuration,"streamed text, reasoning, tool calls, usage",caller-dependent,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,caller-dependent,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,preserve transport; classify callers
apps/desktop/src-tauri/src/sys/commands/chat/send_message_execution.rs,1626,Shared inference dispatch; semantics belong to caller,transport,Host-selected model through the canonical router/provider configuration,"streamed text, reasoning, tool calls, usage",caller-dependent,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,caller-dependent,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,preserve transport; classify callers
apps/desktop/src-tauri/src/sys/commands/chat/send_message_execution.rs,1738,Shared inference dispatch; semantics belong to caller,transport,Host-selected model through the canonical router/provider configuration,"streamed text, reasoning, tool calls, usage",caller-dependent,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,caller-dependent,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,preserve transport; classify callers
apps/desktop/src-tauri/src/sys/commands/chat/send_message_execution.rs,1779,Shared inference dispatch; semantics belong to caller,transport,Host-selected model through the canonical router/provider configuration,"streamed text, reasoning, tool calls, usage",caller-dependent,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,caller-dependent,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,preserve transport; classify callers
apps/desktop/src-tauri/src/sys/commands/code_editing.rs,133,Generate or edit source code,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject
apps/desktop/src-tauri/src/sys/commands/code_editing.rs,281,Generate or edit source code,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject
apps/desktop/src-tauri/src/sys/commands/completion.rs,94,Generate or edit source code,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject
apps/desktop/src-tauri/src/sys/commands/completion.rs,200,Generate or edit source code,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject
apps/desktop/src-tauri/src/sys/commands/completion.rs,495,Generate or edit source code,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject
apps/desktop/src-tauri/src/sys/commands/continuous_job_runner.rs,1981,Generate dependent plan/subtasks/actions,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject replacement; P2 optional evidence gate
apps/desktop/src-tauri/src/sys/commands/design.rs,105,Generate CSS and design explanation,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject
apps/desktop/src-tauri/src/sys/commands/design.rs,225,Generate CSS and design explanation,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject
apps/desktop/src-tauri/src/sys/commands/design.rs,299,Generate CSS and design explanation,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject
apps/desktop/src-tauri/src/sys/commands/design.rs,516,Generate CSS and design explanation,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject
apps/desktop/src-tauri/src/sys/commands/llm.rs,341,Shared inference dispatch; semantics belong to caller,transport,Host-selected model through the canonical router/provider configuration,"streamed text, reasoning, tool calls, usage",caller-dependent,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,caller-dependent,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,preserve transport; classify callers
apps/desktop/src-tauri/src/sys/commands/llm.rs,385,Shared inference dispatch; semantics belong to caller,transport,Host-selected model through the canonical router/provider configuration,"streamed text, reasoning, tool calls, usage",caller-dependent,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,caller-dependent,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,preserve transport; classify callers
apps/desktop/src-tauri/src/sys/commands/vision.rs,182,Vision/computer interaction and action arguments,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,yes when invoked synchronously,none,reject text-only replacement
apps/web/app/api-docs/page.tsx,41,Displayed API example,not executable,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,n/a,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,n/a,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,no,none,exclude
apps/web/app/api-docs/page.tsx,57,Displayed API example,not executable,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,n/a,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,n/a,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,no,none,exclude
apps/web/app/api/chat/conversations/[id]/messages/lib/generate-follow-ups.ts,167,Generate follow-up suggestions,C/D,Host-selected model through the canonical router/provider configuration,free-form text and/or tool arguments,yes,caller-dependent; exact calculation must stay in code,caller-dependent; exact dates stay in code,yes,unknown; no production trace sampled,unknown; input/output dependent,unknown; obtain usage and canonical route price,Existing host retry/error path; not changed,On invocation; production frequency unknown,post-turn,none,reject arbitrary string generation
