route	status	final_path	title
/gallery	200	/gallery	Gallery | AGI
/get-started	200	/get-started	Getting Started | AGI
/help	200	/help	Help | AGI
/integrations	200	/integrations	Integrations | AGI
/invite	404	/invite	AGI | One AI workspace across models and tools.
/legal	200	/legal	Legal | AGI
/legal/eu-representative	200	/legal/eu-representative	EU Representative | AGI
/local	200	/local	Local: Run AI on Your Device, Free Forever | AGI
/login	200	/login	Sign In | AGI
/login/complete	404	/login/complete	AGI | One AI workspace across models and tools.
/marketplace	200	/marketplace	AGI | One AI workspace across models and tools.
/mobile	200	/mobile	AGI Mobile | Private, Local-First AI for iPhone &amp; Android | AGI
/mobile/legal	200	/mobile/legal	Mobile Legal · Privacy Policy and Terms of Service | AGI
/model-licenses	200	/model-licenses	Model licences | AGI
/pair	200	/pair	Pair your phone | AGI
/partners	200	/partners	Partners | AGI
/payment-failure	200	/payment-failure	Payment issue | AGI
/plugins	200	/plugins	Plugins | AGI
/press	200	/press	Press | AGI
/pricing	200	/pricing	Pricing | AGI Cloud, Local, and BYOK plans | AGI
/privacy	200	/privacy	Privacy policy | AGI
/privacy/india	404	/privacy/india	AGI | One AI workspace across models and tools.
/privacy/requests	404	/privacy/requests	AGI | One AI workspace across models and tools.
/providers	200	/providers	Providers: 10+ providers, one thread | AGI
/qa-artifacts	200	/qa-artifacts	AGI | One AI workspace across models and tools.
/refund-policy	200	/refund-policy	Refund policy | AGI
/register	200	/register	AGI | One AI workspace across models and tools.
/resources	200	/resources	Resources | AGI
/security	200	/security	Security | AGI
/settings	200	/login?redirectTo=%2Fsettings	Sign In | AGI
/settings/account	200	/login?redirectTo=%2Fsettings%2Faccount	Sign In | AGI
/settings/archived	200	/login?redirectTo=%2Fsettings%2Farchived	Sign In | AGI
/settings/billing	200	/login?redirectTo=%2Fsettings%2Fbilling	Sign In | AGI
/settings/byok	200	/login?redirectTo=%2Fsettings%2Fbyok	Sign In | AGI
/settings/capabilities	200	/login?redirectTo=%2Fsettings%2Fcapabilities	Sign In | AGI
/settings/connections	200	/login?redirectTo=%2Fsettings%2Fconnections	Sign In | AGI
/settings/deleted-chats	200	/login?redirectTo=%2Fsettings%2Fdeleted-chats	Sign In | AGI
/settings/general	200	/login?redirectTo=%2Fsettings%2Fgeneral	Sign In | AGI
/settings/memory	200	/login?redirectTo=%2Fsettings%2Fmemory	Sign In | AGI
/settings/notifications	200	/login?redirectTo=%2Fsettings%2Fnotifications	Sign In | AGI
/settings/privacy	200	/login?redirectTo=%2Fsettings%2Fprivacy	Sign In | AGI
/settings/profile	200	/login?redirectTo=%2Fsettings%2Fprofile	Sign In | AGI
/settings/reflect	200	/login?redirectTo=%2Fsettings%2Freflect	Sign In | AGI
/settings/safety	200	/login?redirectTo=%2Fsettings%2Fsafety	Sign In | AGI
/settings/security	200	/login?redirectTo=%2Fsettings%2Fsecurity	Sign In | AGI
/settings/shared-links	200	/login?redirectTo=%2Fsettings%2Fshared-links	Sign In | AGI
/settings/skills	200	/login?redirectTo=%2Fsettings%2Fskills	Sign In | AGI
/settings/skills/new	200	/login?redirectTo=%2Fsettings%2Fskills%2Fnew	Sign In | AGI
/settings/sync	200	/login?redirectTo=%2Fsettings%2Fsync	Sign In | AGI
/settings/team	200	/login?redirectTo=%2Fsettings%2Fteam	Sign In | AGI
/settings/time-focus	200	/login?redirectTo=%2Fsettings%2Ftime-focus	Sign In | AGI
/settings/usage	200	/login?redirectTo=%2Fsettings%2Fusage	Sign In | AGI
/settings/voice	200	/login?redirectTo=%2Fsettings%2Fvoice	Sign In | AGI
/sign-in	200	/sign-in	AGI | One AI workspace across models and tools.
/sign-up	200	/sign-up	AGI | One AI workspace across models and tools.
/signup	200	/signup	Create Account | AGI
/signup/complete	200	/signup/complete	Create Account | AGI
/sitemap-page	200	/sitemap-page	Sitemap | AGI
/skills	200	/skills	AGI | One AI workspace across models and tools.
/sla	200	/sla	SLA | AGI
/solutions	200	/solutions	AGI Solutions: AI workflows for teams, developers, and operators | AGI
/status	200	/status	Status | AGI
/subprocessors	200	/subprocessors	Subprocessors | AGI
/support	200	/support	Support | AGI
/tasks	200	/tasks	Tasks | AGI
/teams	200	/teams	AGI for Teams: Shared projects, governance, and BYOK policy | AGI
/terms	200	/terms	Terms of service | AGI
/trust	200	/trust	Trust | AGI
/use-cases	200	/use-cases	AGI Use Cases: Startups, consultants, sales, and IT providers | AGI
/use-cases/consulting	200	/use-cases/consulting	Consulting firms: AGI
/use-cases/consulting-businesses	200	/use-cases/consulting-businesses	Use Cases | AGI
/use-cases/it-providers	200	/use-cases/it-providers	IT service providers: AGI
/use-cases/it-service-providers	200	/use-cases/it-service-providers	Use Cases | AGI
/use-cases/sales-teams	200	/use-cases/sales-teams	Sales teams: AGI
/use-cases/startups	200	/use-cases/startups	Startups: AGI
/user	200	/user	AGI | One AI workspace across models and tools.
/verify	200	/verify	AGI | One AI workspace across models and tools.
/vscode-extension	200	/vscode-extension	AGI in VS Code: the @agi chat participant | AGI
/waitlist	200	/waitlist	AGI Cloud is open — Team org &amp; SSO early access | AGI
